# EntrezGeneId,ABAGeneSymbol
12475,Cd14
12476,Cd151
12477,Ctla4
12478,Cd19
12479,Cd1d1
12480,Cd1d2
12481,Cd2
12482,Ms4a1
12483,Cd22
12484,Cd24a
12487,Cd28
12488,Cd2ap
12489,Cd33
12490,Cd34
12491,Cd36
12492,Scarb2
12493,Cd37
12494,Cd38
12495,Entpd1
12496,Entpd2
12497,Entpd6
12499,Entpd5
12500,Cd3d
12501,Cd3e
12502,Cd3g
12503,Cd247
12504,Cd4
12505,Cd44
12506,Cd48
12507,Cd5
12508,Cd53
12509,Cd59a
12511,Cd6
12512,Cd63
12514,Cd68
12515,Cd69
12516,Cd7
12517,Cd72
12518,Cd79a
12519,Cd80
12520,Cd81
12521,Cd82
12522,Cd83
12523,Cd84
12524,Cd86
12525,Cd8a
12526,Cd8b1
12527,Cd9
12530,Cdc25a
12531,Cdc25b
12532,Cdc25c
12534,Cdc2a
12537,Cdc2l1
12539,Cdc37
12540,Cdc42
12544,Cdc45l
12545,Cdc7
12549,Cdgap
12550,Cdh1
12551,Cdh10
12552,Cdh11
12554,Cdh13
12555,Cdh15
12556,Cdh16
12557,Cdh17
12558,Cdh2
12560,Cdh3
12561,Cdh4
12563,Cdh6
12564,Cdh8
12565,Cdh9
12566,Cdk2
12567,Cdk4
12568,Cdk5
12569,Cdk5r1
12570,Cdk5r2
12571,Cdk6
12572,Cdk7
12575,Cdkn1a
12576,Cdkn1b
12577,Cdkn1c
12578,Cdkn2a
12579,Cdkn2b
12580,Cdkn2c
12581,Cdkn2d
12583,Cdo1
12585,Cdr2
12587,Mia1
12589,Ift81
12590,Cdx1
12591,Cdx2
12592,Cdx4
12593,Cdyl
12606,Cebpa
12607,Cebpz
12609,Cebpd
12611,Cebpg
12613,Cel
12614,Celsr1
12615,Cenpa
12616,Cenpb
12617,Cenpc1
12622,Cer1
12623,Ces1
12626,Cetn3
12628,Cfh
12630,Cfi
12631,Cfl1
12632,Cfl2
12633,Cflar
12638,Cftr
12640,Cga
12642,Ch25h
12643,Chad
12647,Chat
12648,Chd1
12649,Chek1
12652,Chga
12653,Chgb
12654,Chi3l1
12655,Chi3l3
12659,Ovgp1
12660,Chka
12661,Chl1
12662,Chm
12663,Chml
12667,Chrd
12669,Chrm1
12671,Chrm3
12672,Chrm4
12675,Chuk
12677,Chx10
12683,Cidea
12684,Cideb
12686,Elovl3
12695,Inadl
12696,Cirbp
12700,Cish
12702,Socs3
12704,Cit
12705,Cited1
12709,Ckb
12715,Ckm
12716,Ckmt1
12721,Coro1a
12722,Clca1
12723,Clcn1
12724,Clcn2
12725,Clcn3
12727,Clcn4-2
12728,Clcn5
12729,Clns1a
12733,Clcnka
12737,Cldn1
12738,Cldn2
12740,Cldn4
12741,Cldn5
12745,Clgn
12747,Clk1
12748,Clk2
12750,Clk4
12751,Tpp1
12752,Cln3
12753,Clock
12757,Clta
12759,Clu
12763,Cmah
12764,Cmas
12765,Il8rb
12766,Cxcr3
12768,Ccr1
12769,Ccr9
12772,Ccr2
12773,Ccr4
12774,Ccr5
12775,Ccr7
12776,Ccr8
12777,Ccr10
12778,Cmkor1
12780,Abcc2
12785,Cnbp
12788,Cnga1
12789,Cnga2
12793,Cnih
12794,Cnih2
12795,Plk3
12796,Camp
12797,Cnn1
12798,Cnn2
12799,Cnp1
12801,Cnr1
12802,Cnr2
12803,Cntf
12804,Cntfr
12805,Cntn1
12807,Hps3
12808,Cobl
12810,Coch
12812,Coil
12813,Col10a1
12814,Col11a1
12815,Col11a2
12816,Col12a1
12817,Col13a1
12818,Col14a1
12819,Col15a1
12821,Col17a1
12822,Col18a1
12823,Col19a1
12824,Col2a1
12825,Col3a1
12827,Col4a2
12828,Col4a3
12829,Col4a4
12830,Col4a5
12831,Col5a1
12832,Col5a2
12833,Col6a1
12834,Col6a2
12835,Col6a3
12836,Col7a1
12837,Col8a1
12839,Col9a1
12840,Col9a2
12841,Col9a3
12842,Col1a1
12843,Col1a2
12846,Comt
12847,Copa
12848,Cops2
12850,Coq7
12854,Cort
12857,Cox4i1
12858,Cox5a
12859,Cox5b
12861,Cox6a1
12862,Cox6a2
12864,Cox6c
12865,Cox7a1
12866,Cox7a2
12867,Cox7c
12868,Cox8a
12869,Cox8b
12870,Cp
12873,Cpa3
12874,Cpd
12876,Cpe
12877,Cpeb1
12879,Cys1
12889,Cplx1
12891,Cpne6
12892,Cpox
12894,Cpt1a
12895,Cpt1b
12896,Cpt2
12902,Cr2
12903,Crabp1
12904,Crabp2
12905,Cradd
12908,Crat
12909,Crcp
12912,Creb1
12913,Creb3
12914,Crebbp
12915,Crebl1
12916,Crem
12918,Crh
12919,Crhbp
12921,Crhr1
12922,Crhr2
12925,Crip1
12927,Bcar1
12928,Crk
12929,Crkl
12931,Crlf1
12933,Crmp1
12934,Dpysl2
12936,Pcdha4
12937,Pcdha6
12939,Pcdha7
12941,Pcdha5
12942,Pcdha11
12943,Pcdha10
12944,Crp
12945,Dmbt1
12946,Crry
12950,Hapln1
12951,Crx
12952,Cry1
12953,Cry2
12954,Cryaa
12955,Cryab
12957,Cryba1
12958,Cryba2
12959,Cryba4
12960,Crybb1
12961,Crybb2
12965,Crygb
12966,Crygc
12967,Crygd
12968,Cryge
12969,Crygf
12970,Crygs
12971,Crym
12972,Cryz
12974,Cs
12977,Csf1
12978,Csf1r
12981,Csf2
12982,Csf2ra
12984,Csf2rb2
12985,Csf3
12986,Csf3r
12988,Csk
12990,Csn1s1
12991,Csn2
12992,Csn1s2b
12993,Csn1s2a
12994,Csn3
12995,Csnk2a1
13000,Csnk2a2
